M_calibrated_K=MAG_APER_K+26.2715655±0.0033601851,M_calibrated_err_K,M_calibrated_J=MAG_APER_J+27.93667±0.0224088083,M_calibrated_err_J,M_calibrated_H=MAG_APER_H+27.467062±0.0230624783,M_calibrated_err_H,NUMBER_K,X_WORLD_K,Y_WORLD_K,X_IMAGE_K,Y_IMAGE_K,MAG_ISO_K,MAGERR_ISO_K,MAG_ISOCOR_K,MAGERR_ISOCOR_K,MAG_APER_K,MAGERR_APER_K,MAG_AUTO_K,MAGERR_AUTO_K,MAG_BEST_K,MAGERR_BEST_K,ISOAREA_IMAGE_K,THETA_IMAGE_K,ELONGATION_K,CLASS_STAR_K,NUMBER_J,X_WORLD_J,Y_WORLD_J,X_IMAGE_J,Y_IMAGE_J,MAG_ISO_J,MAGERR_ISO_J,MAG_ISOCOR_J,MAGERR_ISOCOR_J,MAG_APER_J,MAGERR_APER_J,MAG_AUTO_J,MAGERR_AUTO_J,MAG_BEST_J,MAGERR_BEST_J,ISOAREA_IMAGE_J,THETA_IMAGE_J,ELONGATION_J,CLASS_STAR_J,NUMBER_H,X_WORLD_H,Y_WORLD_H,X_IMAGE_H,Y_IMAGE_H,MAG_ISO_H,MAGERR_ISO_H,MAG_ISOCOR_H,MAGERR_ISOCOR_H,MAG_APER_H,MAGERR_APER_H,MAG_AUTO_H,MAGERR_AUTO_H,MAG_BEST_H,MAGERR_BEST_H,ISOAREA_IMAGE_H,THETA_IMAGE_H,ELONGATION_H,CLASS_STAR_H
15.1692625,0.0052128245,126.93667,99.0000025361,26.6010254,75.0851235418,1,218.5259343545,35.5271348336,992.2685,215.1658,-11.350922,0.004167746,-11.389455,0.0041710814,-11.102303,0.00398531,-11.358868,0.004363159,-11.358868,0.004363159,1706,48.705303,1.5175043,0.028638657,1,218.5259775738,35.5271697531,992.2685,215.1658,99,99,99,99,99,99,99,99,99,99,0,48.705303,1.5175043,0.0193161,1,218.5259746482,35.5271217749,992.2685,215.1658,-6.3187604,0.8132889,-9.514379,0.08449625,-0.8660366,75.08512,-3.1799428,16.118748,-3.1799428,16.118748,0,48.705303,1.5175043,0.66640824
16.2075535,0.0086196051,17.7957465,0.0239594339,17.157259,0.0266668114,2,218.5698022154,35.5172127615,481.89993,73.429436,-10.069966,0.007837265,-10.117677,0.007850548,-10.064012,0.007937679,-10.093936,0.008642524,-10.093936,0.008642524,615,-9.79071,1.0971673,0.028608387,2,218.569764263,35.5172689922,481.89993,73.429436,-10.140601,0.008399393,-10.184233,0.008341079,-10.1409235,0.008479374,-10.190552,0.009207606,-10.190552,0.009207606,625,-9.79071,1.0971673,0.02848888,2,218.5697637297,35.5172426088,481.89993,73.429436,-10.308518,0.013225044,-10.343957,0.012918514,-10.309803,0.013388089,-10.337113,0.015336968,-10.337113,0.015336968,509,-9.79071,1.0971673,0.027698824
20.809712,0.4136616877,24.4440626,3.0972714651,126.467062,99.0000026863,3,218.5244462521,35.5132733051,1009.5922,17.031576,-7.0056744,0.04393333,-7.2114215,0.044484958,-5.4618535,0.41364804,-6.873249,0.080508955,-7.2114215,0.044484958,61,-10.710171,2.4775887,0.956288,3,218.5244935542,35.5133340834,1009.5922,17.031576,-1.5744318,6.9918685,-4.7700496,0.72623146,-3.4926074,3.0971904,-2.602589,4.839931,-4.7700496,0.72623146,0,-10.710171,2.4775887,0.01930735,3,218.5245005887,35.5132868631,1009.5922,17.031576,99,99,99,99,99,99,99,99,99,99,0,-10.710171,2.4775887,0.019272702
19.7388465,0.1295907508,25.6074352,7.4693796143,126.467062,99.0000026863,4,218.5250397592,35.5124256636,1002.6875,4.9150577,-7.5358286,0.029544195,-7.638199,0.029764293,-6.532719,0.12954718,-7.6343226,0.035524905,-7.638199,0.029764293,70,-71.64998,3.2417774,0.98280203,4,218.5250860298,35.5124880656,1002.6875,4.9150577,-1.3110243,9.194166,-4.506642,0.95494366,-2.3292348,7.469346,-1.8262972,8.1759815,-4.506642,0.95494366,0,-71.64998,3.2417774,0.019367345,4,218.5250936011,35.5124412124,1002.6875,4.9150577,99,99,99,99,99,99,99,99,99,99,0,-71.64998,3.2417774,0.019272702
19.2673215,0.0779684402,25.3419873,5.3339384719,126.467062,99.0000026863,5,218.5239480533,35.5122298106,1015.3898,2.1163585,-7.374171,0.027527168,-7.425548,0.027584268,-7.004244,0.077896,-7.4164486,0.03110913,-7.425548,0.027584268,36,6.303287,3.2991004,0.9747693,5,218.5239963854,35.5122925115,1015.3898,2.1163585,-1.1861398,7.576367,-4.3817573,0.7869737,-2.5946827,5.3338914,-1.71125,5.9912286,-4.3817573,0.7869737,0,6.303287,3.2991004,0.019304562,5,218.5240042104,35.5122451674,1015.3898,2.1163585,99,99,99,99,99,99,99,99,99,99,0,6.303287,3.2991004,0.019272702
17.3842445,0.0186337396,126.93667,99.0000025361,28.6321846,442.8242006006,6,218.5201706721,35.5151985264,1059.3354,44.554737,-9.389186,0.014930623,-9.613112,0.015114175,-8.887321,0.018328268,-9.687103,0.022081327,-9.613112,0.015114175,678,-55.15979,1.7255218,0.019963862,6,218.5202257964,35.5152554356,1059.3354,44.554737,-2.2977555,11.020066,-5.493373,1.1445415,99,99,-4.6635256,2.655498,-5.493373,1.1445415,0,-55.15979,1.7255218,0.019319845,6,218.5202319209,35.5152060101,1059.3354,44.554737,99,99,99,99,1.1651226,442.8242,99,99,99,99,0,-55.15979,1.7255218,0.05156556
17.1154725,0.0162140116,24.2570507,2.6073872964,126.467062,99.0000026863,7,218.5225557724,35.5132129563,1031.588,16.17057,-9.302232,0.013793779,-9.432023,0.013928919,-9.156093,0.015862009,-9.117385,0.022883352,-9.432023,0.013928919,528,3.8718324,1.6946988,0.13935702,7,218.5226066183,35.5132737305,1031.588,16.17057,-3.5359178,2.8809204,-6.7315354,0.29923388,-3.6796193,2.607291,-4.332732,2.1527216,-6.7315354,0.29923388,0,3.8718324,1.6946988,0.01930244,7,218.5226138951,35.5132256308,1031.588,16.17057,99,99,99,99,99,99,99,99,99,99,0,3.8718324,1.6946988,0.019272702
17.1627155,0.0165430282,28.34132233,109.5676122915,126.467062,99.0000026863,8,218.5205403196,35.5137798374,1055.0369,24.275692,-9.613469,0.01253454,-9.774733,0.012680773,-9.10885,0.016198177,-9.835217,0.015095804,-9.774733,0.012680773,779,-44.45003,2.0985672,0.027627764,8,218.5205948847,35.5138394254,1055.0369,24.275692,-2.9316888,6.1950316,-6.1273065,0.6434194,0.40465233,109.56761,-3.897405,4.0502076,-6.1273065,0.6434194,0,-44.45003,2.0985672,0.019299937,8,218.5206019733,35.513790322,1055.0369,24.275692,99,99,99,99,99,99,99,99,99,99,0,-44.45003,2.0985672,0.05094564
15.9097545,0.0072642884,126.93667,99.0000025361,15.510616,0.0233304408,9,218.530674396,35.5153888583,937.12805,47.268738,-10.353418,0.0058005364,-10.371634,0.005797038,-10.361811,0.0064404225,-10.344888,0.0058417018,-10.371634,0.005797038,371,-55.72501,1.0494207,0.9823627,9,218.5307098434,35.5154460624,937.12805,47.268738,99,99,99,99,99,99,99,99,99,99,0,-55.72501,1.0494207,0.019278552,9,218.5307147247,35.515401538,937.12805,47.268738,-11.807368,0.0033959998,-11.811392,0.0033896263,-11.956446,0.0035258422,-11.817235,0.0033806798,-11.811392,0.0033896263,389,-55.72501,1.0494207,0.09116943
17.678258,0.0254562382,19.5459315,0.0422913848,19.086873,0.0784783924,10,218.5541242294,35.5161743855,664.3001,58.529247,-8.503895,0.020392178,-8.648234,0.020612022,-8.5933075,0.025233494,-8.672898,0.028222466,-8.672898,0.028222466,279,88.239174,1.3624284,0.027042111,10,218.5541157156,35.5162315792,664.3001,58.529247,-8.270753,0.028918555,-8.478264,0.028104274,-8.3907385,0.03586651,-8.450096,0.04127094,-8.450096,0.04127094,214,88.239174,1.3624284,0.016089622,10,218.5541175685,35.516197959,664.3001,58.529247,-8.500764,0.047183737,-8.645787,0.04315443,-8.380189,0.0750132,-8.36966,0.09313304,-8.36966,0.09313304,181,88.239174,1.3624284,0.009548984
