Elliptical.norm_LIR_h_ks_redshift_0_2_1,Elliptical.norm_LIR_j_h_redshift_0_2_1,Elliptical.norm_LIR_j_ks_redshift_0_2_1,Elliptical.norm_LIR_redshift_0_2_1,Ly_break.norm_LIR_h_ks_redshift_0_2_1,Ly_break.norm_LIR_j_h_redshift_0_2_1,Ly_break.norm_LIR_j_ks_redshift_0_2_1,Ly_break.norm_LIR_redshift_0_2_1,Red_SF_glx_2.norm_LIR_h_ks_redshift_0_2_1,Red_SF_glx_2.norm_LIR_j_h_redshift_0_2_1,Red_SF_glx_2.norm_LIR_j_ks_redshift_0_2_1,Red_SF_glx_2.norm_LIR_redshift_0_2_1
-0.658,0.289,-0.368,0,-0.64,0.367,-0.273,0,-0.49,0.503,0.0136,0
-0.387,0.206,-0.181,0.5,-0.305,0.548,0.242,0.5,-0.139,0.714,0.576,0.5
-0.285,0.568,0.282,1,0.0507,0.646,0.696,1,0.225,0.824,1.05,1
0.0381,0.667,0.705,1.5,0.12,0.823,0.944,1.5,0.306,0.971,1.28,1.5
0.122,0.952,1.07,2,0.237,1.34,1.57,2,0.407,1.34,1.74,2
0.237,1.43,1.66,2.5,0.435,1.93,2.36,2.5,0.564,1.85,2.42,2.5
0.534,1.45,1.99,3,0.973,1.81,2.78,3,0.94,1.74,2.68,3
0.934,1.58,2.51,3.5,1.51,2.28,3.8,3.5,1.38,1.71,3.09,3.5
1.03,1.82,2.85,4,1.46,2.96,4.42,4,1.38,1.77,3.15,4
1.05,1.54,2.59,4.5,1.53,2.49,4.02,4.5,1.27,1.5,2.77,4.5
