J-Ks,J-Ks_err,M_calibrated_K=MAG_APER_K+26.445934±0.0033441332,M_calibrated_err_K,M_calibrated_J=MAG_APER_J+28.064628±0.0038446683,M_calibrated_err_J,M_calibrated_H=MAG_APER_H+27.527569±0.0059013404,M_calibrated_err_H,NUMBER_K,X_WORLD_K,Y_WORLD_K,X_IMAGE_K,Y_IMAGE_K,MAG_ISO_K,MAGERR_ISO_K,MAG_ISOCOR_K,MAGERR_ISOCOR_K,MAG_APER_K,MAGERR_APER_K,MAG_AUTO_K,MAGERR_AUTO_K,MAG_BEST_K,MAGERR_BEST_K,ISOAREA_IMAGE_K,THETA_IMAGE_K,ELONGATION_K,CLASS_STAR_K,NUMBER_J,X_WORLD_J,Y_WORLD_J,X_IMAGE_J,Y_IMAGE_J,MAG_ISO_J,MAGERR_ISO_J,MAG_ISOCOR_J,MAGERR_ISOCOR_J,MAG_APER_J,MAGERR_APER_J,MAG_AUTO_J,MAGERR_AUTO_J,MAG_BEST_J,MAGERR_BEST_J,ISOAREA_IMAGE_J,THETA_IMAGE_J,ELONGATION_J,CLASS_STAR_J,NUMBER_H,X_WORLD_H,Y_WORLD_H,X_IMAGE_H,Y_IMAGE_H,MAG_ISO_H,MAGERR_ISO_H,MAG_ISOCOR_H,MAGERR_ISOCOR_H,MAG_APER_H,MAGERR_APER_H,MAG_AUTO_H,MAGERR_AUTO_H,MAG_BEST_H,MAGERR_BEST_H,ISOAREA_IMAGE_H,THETA_IMAGE_H,ELONGATION_H,CLASS_STAR_H
109.509164,99.0000014521,17.555436,0.0165145657,127.0646,99.0000000747,23.2717907,1.8740169918,1,176.6224673295,-0.2127007145,1034.7976,304.87155,-10.665153,0.0054697315,-10.696385,0.0054690144,-8.890498,0.016172435,-10.541366,0.007784034,-10.696385,0.0054690144,706,89.37393,14.46127,0.0286118,1,176.6224823101,-0.2126844834,1034.7976,304.87155,99,99,99,99,99,99,99,99,99,99,211,89.37393,14.46127,0.0003147007,1,176.622479383,-0.212703648,1034.7976,304.87155,99,99,99,99,-4.2557783,1.8740077,99,99,99,99,215,89.37393,14.46127,0.004427358
109.503284,99.0000014664,17.561316,0.0166003898,127.0646,99.0000000747,126.527569,99.0000001759,2,176.6224755645,-0.2233987281,1034.7684,152.08232,-11.15016,0.004295222,-11.1783,0.0042937533,-8.884618,0.016260065,-10.78531,0.006768445,-11.1783,0.0042937533,1034,-89.83668,29.984632,0.028615955,2,176.6224880362,-0.2233718646,1034.7684,152.08232,99,99,99,99,99,99,99,99,99,99,338,-89.83668,29.984632,0.013481662,2,176.6224862561,-0.2233951077,1034.7684,152.08232,99,99,99,99,99,99,-8.026965,0.13992731,99,99,384,-89.83668,29.984632,0.002004728
1.075689,0.0058102618,14.216936,0.0039488486,15.292625,0.0042621282,14.542209,0.0061078405,3,176.6836355992,-0.2260756818,161.3091,113.34283,-12.340085,0.0021357827,-12.34989,0.0021340135,-12.228998,0.0021000425,-12.332702,0.0021198418,-12.332702,0.0021198418,1466,-12.058633,1.7471278,0.026801229,3,176.6835866474,-0.2260604531,161.3091,113.34283,-12.895363,0.0019994022,-12.90092,0.001994728,-12.771975,0.0018396366,-12.889924,0.0019611034,-12.889924,0.0019611034,1400,-12.058633,1.7471278,0.028575623,3,176.6836084756,-0.2260781781,161.3091,113.34283,-13.108295,0.0016576693,-13.112793,0.0016550784,-12.98536,0.001574769,-13.102297,0.0016340158,-13.102297,0.0016340158,1488,-12.058633,1.7471278,0.028402764
0.9575055,0.006406941,14.838948,0.0044567046,15.7964535,0.0046028988,15.121759,0.0063063184,4,176.6643414473,-0.2275794576,436.8787,92.02629,-11.675733,0.002995816,-11.688613,0.0029931888,-11.606986,0.0029460124,-11.682071,0.0030714346,-11.682071,0.0030714346,1019,40.349903,1.5556451,0.028529538,4,176.6643113245,-0.227558224,436.8787,92.02629,-12.3564205,0.0026417028,-12.362763,0.0026343951,-12.2681465,0.0025308502,-12.370417,0.0027467492,-12.370417,0.0027467492,1043,40.349903,1.5556451,0.028629187,4,176.6643259561,-0.2275785853,436.8787,92.02629,-12.490701,0.0022923062,-12.496243,0.0022876142,-12.40581,0.0022234733,-12.504661,0.0023667212,-12.504661,0.0023667212,1060,40.349903,1.5556451,0.02863475
1.197537,0.0069582702,15.034443,0.0046945985,16.23198,0.0051359778,15.422972,0.0064868748,5,176.6267838295,-0.2325728464,973.3141,21.021832,-11.578811,0.003482923,-11.605017,0.0034813182,-11.411491,0.0032948488,-11.520578,0.0035721965,-11.520578,0.0035721965,1468,47.33687,1.7269981,0.8812816,5,176.6267898741,-0.2325378701,973.3141,21.021832,-11.927864,0.004249204,-11.945452,0.004209287,-11.83262,0.0034054066,-11.959557,0.004053457,-11.959557,0.004053457,1129,47.33687,1.7269981,0.030212566,5,176.6267907178,-0.232564151,973.3141,21.021832,-12.20584,0.0031914995,-12.218811,0.0031727983,-12.104597,0.0026932743,-12.24764,0.0030374946,-12.24764,0.0030374946,1255,47.33687,1.7269981,0.029026948
1.2601994,0.1360149733,19.1154262,0.0744744289,20.3756256,0.1138140255,19.144073,0.0549527743,6,176.6529604334,-0.231907659,599.4571,30.305317,-6.9854555,0.04575838,-7.232435,0.04624724,-7.3305078,0.07439931,-7.2400465,0.0736623,-7.2400465,0.0736623,91,-43.615707,1.4884857,0.8357497,6,176.6529406125,-0.2318794625,599.4571,30.305317,-7.627643,0.051099267,-7.7205496,0.048489615,-7.6889744,0.11374907,-7.741973,0.09858373,-7.741973,0.09858373,70,-43.615707,1.4884857,0.8045179,6,176.652951367,-0.231902691,599.4571,30.305317,-7.9418235,0.035507746,-8.002402,0.034413148,-8.383496,0.054634985,-8.394568,0.049328815,-8.394568,0.049328815,95,-43.615707,1.4884857,0.026921574
107.827965,99.0000348416,19.236635,0.0829689964,127.0646,99.0000000747,20.13103,0.1339261619,7,176.6610867878,-0.2321299668,483.3992,27.06289,-6.5906043,0.05799887,-6.911178,0.058231413,-7.209299,0.082901575,-7.193097,0.07887568,-6.911178,0.058231413,77,42.325294,1.1859771,0.41372877,7,176.6610588366,-0.2321034488,483.3992,27.06289,-5.1874213,0.41328675,-8.3830385,0.044055123,99,99,99,99,-8.3830385,0.044055123,38,42.325294,1.1859771,0.7116087,7,176.6610727137,-0.2321258933,483.3992,27.06289,-6.5728517,0.10627986,-6.9036303,0.09238784,-7.396539,0.13379608,-7.328481,0.13313667,-6.9036303,0.09238784,50,42.325294,1.1859771,0.58158094
2.694567,0.1681379773,18.090283,0.0305041458,20.78485,0.1653477442,19.034197,0.0498369411,8,176.661924474,-0.232356184,471.43732,23.825098,-8.0420265,0.023882724,-8.158241,0.024075907,-8.355651,0.030320285,-8.36436,0.030452361,-8.158241,0.024075907,158,-63.722874,1.085538,0.905613,8,176.6618956372,-0.2323296369,471.43732,23.825098,-7.7391067,0.058929548,-7.922867,0.05357071,-7.27975,0.16530304,-7.2220454,0.1766546,-7.922867,0.05357071,110,-63.722874,1.085538,0.28136915,8,176.6619098579,-0.2323520781,471.43732,23.825098,-8.137695,0.03767294,-8.238945,0.03579745,-8.493372,0.04948631,-8.442665,0.05248099,-8.238945,0.03579745,133,-63.722874,1.085538,0.04742658
108.0855115,99.0000208267,18.9790885,0.0641007311,127.0646,99.0000000747,19.318567,0.0623434247,9,176.661832528,-0.2331602013,472.75717,12.342877,-6.8631687,0.047131497,-7.0812683,0.047682106,-7.4668455,0.06401344,-7.464333,0.05893512,-7.0812683,0.047682106,76,-22.27283,1.238386,0.85146374,9,176.6618035947,-0.2331328334,472.75717,12.342877,-5.9519477,0.2100168,-7.452996,0.094706535,99,99,99,99,-7.452996,0.094706535,39,-22.27283,1.238386,0.9248703,9,176.6618178662,-0.233155591,472.75717,12.342877,-7.844711,0.035714384,-7.897815,0.0347468,-8.209002,0.06206349,-8.202767,0.05713704,-7.897815,0.0347468,76,-22.27283,1.238386,0.25821823
1.133607,0.0557777478,18.203558,0.033579026,19.337165,0.0445376937,18.623906,0.0347925445,10,176.6394902408,-0.2324743304,791.8416,22.323723,-8.088369,0.021898367,-8.174125,0.022012917,-8.242376,0.03341209,-8.162529,0.027359743,-8.162529,0.027359743,126,49.81895,1.5296588,0.9804944,10,176.6394836777,-0.232442422,791.8416,22.323723,-8.779582,0.02233313,-8.814528,0.021892283,-8.727435,0.04437144,-8.7689,0.031667683,-8.7689,0.031667683,109,49.81895,1.5296588,0.98256713,10,176.6394893562,-0.2324673068,791.8416,22.323723,-8.937365,0.018030979,-8.96627,0.017770171,-8.903663,0.034288414,-8.857594,0.026646249,-8.857594,0.026646249,130,49.81895,1.5296588,0.9265168
