J-Ks,J-Ks_err,H-Ks,H-Ks_err,J-H,J-H_err,M_calibrated_K=MAG_APER_K+26.445934±0.0033441332,M_calibrated_err_K,M_calibrated_J=MAG_APER_J+27.93667±0.0224088083,M_calibrated_err_J,M_calibrated_H,M_calibrated_err_H,NUMBER_K,X_WORLD_K,Y_WORLD_K,X_IMAGE_K,Y_IMAGE_K,MAG_ISO_K,MAGERR_ISO_K,MAG_ISOCOR_K,MAGERR_ISOCOR_K,MAG_APER_K,MAGERR_APER_K,MAG_AUTO_K,MAGERR_AUTO_K,MAG_BEST_K,MAGERR_BEST_K,ISOAREA_IMAGE_K,THETA_IMAGE_K,ELONGATION_K,CLASS_STAR_K,NUMBER_J,X_WORLD_J,Y_WORLD_J,X_IMAGE_J,Y_IMAGE_J,MAG_ISO_J,MAGERR_ISO_J,MAG_ISOCOR_J,MAGERR_ISOCOR_J,MAG_APER_J,MAGERR_APER_J,MAG_AUTO_J,MAGERR_AUTO_J,MAG_BEST_J,MAGERR_BEST_J,ISOAREA_IMAGE_J,THETA_IMAGE_J,ELONGATION_J,CLASS_STAR_J,NUMBER_H,X_WORLD_H,Y_WORLD_H,X_IMAGE_H,Y_IMAGE_H,MAG_ISO_H,MAGERR_ISO_H,MAG_ISOCOR_H,MAGERR_ISOCOR_H,MAG_APER_H,MAGERR_APER_H,MAG_AUTO_H,MAGERR_AUTO_H,MAG_BEST_H,MAGERR_BEST_H,ISOAREA_IMAGE_H,THETA_IMAGE_H,ELONGATION_H,CLASS_STAR_H
1.490736,140.0071445082,,,,,125.445934,99.0000000565,126.93667,99.0000025361,,,1,158.3268361078,59.1178834452,9.069422,62.567535,-7.4239354,0.033015337,-7.527823,0.033412185,99,99,-7.1753983,0.054347064,-7.1753983,0.054347064,33,-84.25442,1.5226145,0.974565,1,158.3268898257,59.1178553153,9.069422,62.567535,99,99,99,99,99,99,99,99,99,99,10,-84.25442,1.5226145,0.36151788,,,,,,,,,,,,,,,,,,,
2.170143,0.0443556836,,,,,17.194314,0.0169603349,19.364457,0.0409850424,,,2,158.227283136,59.1171161238,739.6419,50.688255,-9.188711,0.011947672,-9.229984,0.011993846,-9.25162,0.016627379,-9.201513,0.01317938,-9.201513,0.01317938,193,-56.724213,1.2519155,0.97995245,2,158.2272774436,59.1170702905,739.6419,50.688255,-8.376923,0.025204973,-8.500484,0.024954518,-8.572213,0.034316454,-8.484583,0.026619287,-8.484583,0.026619287,174,-56.724213,1.2519155,0.0287617,,,,,,,,,,,,,,,,,,,
-101.688954,99.0147150977,,,,,125.445934,99.0000000565,23.75698,1.7069840946,,,3,158.1869614272,59.1141989637,1035.5575,8.921832,-7.0982904,0.03602803,-7.1771345,0.03635164,99,99,99,99,-7.1771345,0.03635164,37,-58.612705,2.9741657,0.96600795,3,158.1869334131,59.1141443758,1035.5575,8.921832,-1.8688749,4.3246617,-5.0644927,0.44934797,-4.17969,1.706837,-3.0054731,2.6133735,-5.0644927,0.44934797,0,-58.612705,2.9741657,0.019276856,,,,,,,,,,,,,,,,,,,
6.6436684,4.5116046986,,,,,18.070558,0.0351648725,24.7142264,4.5114676535,,,4,158.1848021236,59.1154318763,1051.4031,26.551498,-9.094593,0.016715014,-9.247637,0.016987443,-8.375376,0.0350055,-8.384067,0.05502925,-9.247637,0.016987443,307,27.15614,2.0845761,0.028517656,4,158.1847719995,59.1153776568,1051.4031,26.551498,-2.0244343,11.596493,-5.2200522,1.2044123,-3.2224436,4.511412,-4.0429397,3.4763381,-5.2200522,1.2044123,0,27.15614,2.0845761,0.019279018,,,,,,,,,,,,,,,,,,,
-101.0790684,99.0478807044,,,,,125.445934,99.0000000565,24.3668656,3.0793929358,,,5,158.185164963,59.1143021958,1048.7423,10.399383,-7.896739,0.02589181,-7.9897094,0.02617027,99,99,99,99,-7.9897094,0.02617027,85,33.49701,3.1879883,0.9827107,5,158.1851358012,59.1142473583,1048.7423,10.399383,-1.773648,7.1960635,-4.9692655,0.74742824,-3.5698044,3.0793114,-2.9989545,3.7326236,-4.9692655,0.74742824,0,33.49701,3.1879883,0.019277375,,,,,,,,,,,,,,,,,,,
105.3678713,99.0026738754,,,,,21.5687987,0.7272773385,126.93667,99.0000025361,,,6,158.1839268777,59.1140653922,1057.8296,7.014945,-7.7796826,0.02606441,-7.855121,0.026286889,-4.8771353,0.72726965,-7.338276,0.050105352,-7.855121,0.026286889,60,46.00082,1.6032597,0.9820324,6,158.1838971278,59.114010197,1057.8296,7.014945,99,99,99,99,99,99,99,99,99,99,0,46.00082,1.6032597,0.03017549,,,,,,,,,,,,,,,,,,,
-102.1222124,99.0067197581,,,,,125.445934,99.0000000565,23.3237216,1.1534929875,,,7,158.1886156721,59.1142210699,1023.4164,9.23676,-7.11324,0.0364713,-7.1990423,0.036831368,99,99,-6.170468,0.11886053,-7.1990423,0.036831368,38,25.255663,2.3897357,0.9744061,7,158.1885886377,59.1141667825,1023.4164,9.23676,-2.2006617,3.3009923,-5.3962793,0.34307253,-4.6129484,1.1532753,-3.03351,2.4434667,-5.3962793,0.34307253,0,25.255663,2.3897357,0.019275274,,,,,,,,,,,,,,,,,,,
-101.899243,99.0082416977,,,,,125.445934,99.0000000565,23.546691,1.2774634588,,,8,158.1896965523,59.1139264376,1015.48364,5.023635,-7.502537,0.027577722,-7.5572248,0.027735205,99,99,-5.835292,0.13801926,-5.835292,0.13801926,31,77.50535,2.294606,0.97490335,8,158.1896703617,59.1138721602,1015.48364,5.023635,-2.3108618,3.057564,-5.5064793,0.31779662,-4.389979,1.2772669,-2.920727,2.3117712,-2.920727,2.3117712,0,77.50535,2.294606,0.019275002,,,,,,,,,,,,,,,,,,,
107.4815016,99.0000757641,,,,,19.4551684,0.1204123762,126.93667,99.0000025361,,,9,158.1833254391,59.1150117919,1062.2416,20.546907,-7.4594817,0.032232404,-7.559954,0.03260743,-6.9907656,0.12036593,-7.4695015,0.0442495,-7.559954,0.03260743,38,-54.353085,1.4943045,0.97625685,9,158.1832947041,59.1149570628,1062.2416,20.546907,99,99,99,99,99,99,99,99,99,99,0,-54.353085,1.4943045,0.019272702,,,,,,,,,,,,,,,,,,,
2.4763694,0.2367777767,,,,,18.963565,0.0773072576,21.4399344,0.2238019291,,,10,158.2878723634,59.1161016363,294.97223,36.60663,-7.263189,0.041223526,-7.46177,0.04196057,-7.482369,0.077234894,-7.475305,0.057713058,-7.475305,0.057713058,90,51.96257,1.271884,0.10969527,10,158.2879037928,59.1160656896,294.97223,36.60663,-6.1806636,0.121357486,-8.697651,0.027829513,-6.4967356,0.22267723,-6.47159,0.16661008,-6.47159,0.16661008,50,51.96257,1.271884,0.16112912,,,,,,,,,,,,,,,,,,,
