J-Ks,J-Ks_err,H-Ks,H-Ks_err,J-H,J-H_err,M_calibrated_K=MAG_APER_K+26.445934±0.0033441332,M_calibrated_err_K,M_calibrated_J=MAG_APER_J+27.93667±0.0224088083,M_calibrated_err_J,M_calibrated_H=MAG_APER_H+27.467062±0.0230624783,M_calibrated_err_H,NUMBER_K,X_WORLD_K,Y_WORLD_K,X_IMAGE_K,Y_IMAGE_K,MAG_ISO_K,MAGERR_ISO_K,MAG_ISOCOR_K,MAGERR_ISOCOR_K,MAG_APER_K,MAGERR_APER_K,MAG_AUTO_K,MAGERR_AUTO_K,MAG_BEST_K,MAGERR_BEST_K,ISOAREA_IMAGE_K,THETA_IMAGE_K,ELONGATION_K,CLASS_STAR_K,NUMBER_J,X_WORLD_J,Y_WORLD_J,X_IMAGE_J,Y_IMAGE_J,MAG_ISO_J,MAGERR_ISO_J,MAG_ISOCOR_J,MAGERR_ISOCOR_J,MAG_APER_J,MAGERR_APER_J,MAG_AUTO_J,MAGERR_AUTO_J,MAG_BEST_J,MAGERR_BEST_J,ISOAREA_IMAGE_J,THETA_IMAGE_J,ELONGATION_J,CLASS_STAR_J,NUMBER_H,X_WORLD_H,Y_WORLD_H,X_IMAGE_H,Y_IMAGE_H,MAG_ISO_H,MAGERR_ISO_H,MAG_ISOCOR_H,MAGERR_ISOCOR_H,MAG_APER_H,MAGERR_APER_H,MAG_AUTO_H,MAGERR_AUTO_H,MAG_BEST_H,MAGERR_BEST_H,ISOAREA_IMAGE_H,THETA_IMAGE_H,ELONGATION_H,CLASS_STAR_H
109.205702,99.0000045843,3.4027467,0.3071046368,105.8029553,99.0004768164,17.730968,0.0201381192,126.93667,99.0000025361,21.1337147,0.3064436556,1,200.8487189914,33.3501088714,15.748369,144.70767,-9.04717,0.01602028,-9.2491255,0.016121056,-8.714966,0.019858515,-9.033151,0.025855923,-9.2491255,0.016121056,594,76.56766,1.9916966,0.01815681,1,200.8487399817,33.3500697096,15.748369,144.70767,99,99,99,99,99,99,99,99,99,99,126,76.56766,1.9916966,0.0006207744,1,200.8487370564,33.3500554053,15.748369,144.70767,-6.6126704,0.25340462,-9.808289,0.026532779,-6.3333473,0.3055746,-5.53107,1.2085773,-9.808289,0.026532779,179,76.56766,1.9916966,0.0003201982
108.886769,99.0000059523,108.417161,99.0000061024,0.469608,140.0071463677,18.049901,0.0260075666,126.93667,99.0000025361,126.467062,99.0000026863,2,200.8485458621,33.3472910228,17.821054,104.3803,-8.724584,0.019292984,-8.966335,0.019393759,-8.396033,0.025791671,-8.778369,0.029543059,-8.966335,0.019393759,479,-57.300636,1.7759482,0.015955998,2,200.8485661212,33.3472514823,17.821054,104.3803,99,99,99,99,99,99,99,99,99,99,85,-57.300636,1.7759482,0.00338815,2,200.8485627624,33.3472365653,17.821054,104.3803,99,99,99,99,99,99,99,99,99,99,136,-57.300636,1.7759482,0.0003188476
108.9442005,99.000005649,108.4745925,99.0000057991,0.469608,140.0071463677,17.9924695,0.0248264432,126.93667,99.0000025361,126.467062,99.0000026863,3,200.8484854428,33.3449995869,18.54581,71.58656,-8.688037,0.018531233,-8.871701,0.018646808,-8.4534645,0.024600184,-8.570298,0.031099942,-8.871701,0.018646808,411,-75.884155,2.2576125,0.016876727,3,200.8485051188,33.3449597244,18.54581,71.58656,99,99,99,99,99,99,99,99,99,99,68,-75.884155,2.2576125,0.0072706477,3,200.8485014254,33.3449443013,18.54581,71.58656,99,99,99,99,99,99,99,99,99,99,106,-75.884155,2.2576125,0.005633052
5.6651796,0.6797478222,109.68774,99.0000032047,-104.0225604,99.002335762,16.779322,0.0101317853,22.4445016,0.6796723099,126.467062,99.0000026863,4,200.848777247,33.3420079527,15.060217,28.771654,-10.296905,0.0077801966,-10.396429,0.0077974107,-9.666612,0.009563987,-10.238411,0.0099817095,-10.396429,0.0077974107,1262,-83.91502,1.5359188,0.027055275,4,200.8487962156,33.3419676051,15.060217,28.771654,99,99,99,99,-5.4921684,0.6793028,99,99,99,99,473,-83.91502,1.5359188,0.015386494,4,200.8487921682,33.341951485,15.060217,28.771654,99,99,99,99,99,99,-7.6780434,0.18171734,99,99,513,-83.91502,1.5359188,0.027077477
0.391486,0.0226641475,0.275273,0.0233113854,0.116213,0.0321596103,11.208079,0.0033796256,11.599565,0.02241075,11.483352,0.0230650996,5,200.8255357002,33.3505865345,292.8967,151.59457,-15.273387,0.0004891286,-15.274707,0.0004889657,-15.237855,0.0004885103,-15.241324,0.0004878842,-15.241324,0.0004878842,4005,64.95979,1.0132252,0.99990416,5,200.8255534548,33.3505514961,292.8967,151.59457,-16.395243,0.0002945544,-16.395704,0.0002945146,-16.337105,0.0002949988,-16.342663,0.0002943785,-16.342663,0.0002943785,4081,64.95979,1.0132252,0.9986893,5,200.8255454195,33.3505395648,292.8967,151.59457,-16.039175,0.0003502411,-16.03982,0.0003501739,-15.98371,0.000347729,-15.989593,0.0003469928,-15.989593,0.0003469928,3824,64.95979,1.0132252,0.9961018
2.328169,0.2124794291,1.4772816,0.1511041744,0.8508874,0.2511696051,18.810018,0.0494661945,21.138187,0.2066412432,20.2872996,0.1427780345,6,200.788788691,33.3448652355,732.2483,69.92137,-7.541066,0.034452826,-7.8274403,0.03452356,-7.635916,0.049353026,-7.600817,0.068769306,-7.8274403,0.03452356,190,-81.367,1.8399602,0.5751676,6,200.7887996934,33.3448357915,732.2483,69.92137,-7.1811805,0.08698642,-7.740575,0.0689047,-6.798483,0.20542261,99,99,-7.740575,0.0689047,108,-81.367,1.8399602,0.0014061969,6,200.7887826506,33.3448261723,732.2483,69.92137,-7.50773,0.06324189,-7.811067,0.05544364,-7.1797624,0.14090312,-7.345491,0.16702566,-7.811067,0.05544364,133,-81.367,1.8399602,0.17404594
1.5343775,0.0452008524,0.7716565,0.0394342883,0.762721,0.0538797812,17.6322505,0.0186433544,19.166628,0.0411769643,18.403907,0.0347489342,7,200.7877332184,33.3437109155,744.8778,53.4096,-8.615935,0.0146091785,-8.663448,0.014585034,-8.8136835,0.018340977,-8.731809,0.016211806,-8.663448,0.014585034,201,-46.942966,1.0867925,0.90730035,7,200.7877437789,33.3436814885,744.8778,53.4096,-8.57406,0.024222739,-8.624185,0.0235692,-8.770042,0.034545444,-8.753785,0.027443552,-8.624185,0.0235692,170,-46.942966,1.0867925,0.580257,7,200.7877263388,33.3436717145,744.8778,53.4096,-8.85847,0.018732158,-8.893597,0.018388938,-9.063155,0.025992509,-9.021682,0.021279374,-8.893597,0.018388938,184,-46.942966,1.0867925,0.37104872
1.652389,0.048525801,0.562198,0.0369218204,1.090191,0.054876556,17.642168,0.0187954487,19.294557,0.0447379534,18.204366,0.0317797409,8,200.7882153545,33.3433538215,739.1169,48.29529,-8.347094,0.017206548,-8.4058895,0.017190773,-8.803766,0.018495558,-8.751374,0.01724603,-8.4058895,0.017190773,175,43.99023,1.7013007,0.61886275,8,200.7882258953,33.3433242585,739.1169,48.29529,-8.195193,0.03204079,-8.2671795,0.0308172,-8.642113,0.03872118,-8.616685,0.03430573,-8.2671795,0.0308172,134,43.99023,1.7013007,0.3936186,8,200.788208513,33.3433143575,739.1169,48.29529,-8.604925,0.022201622,-8.647179,0.021710854,-9.262696,0.021864904,-9.154041,0.020973273,-8.647179,0.021710854,159,43.99023,1.7013007,0.04231408
1.493756,0.1008906106,2.5601985,0.3488538542,-1.0664425,0.3574751356,18.706323,0.0452186598,20.200079,0.090189734,21.2665215,0.3459108041,9,200.8051873852,33.3433093319,536.2052,47.54265,-7.440696,0.030422172,-7.5665436,0.030544799,-7.739611,0.045094833,-7.7231545,0.04221009,-7.7231545,0.04221009,127,70.69108,1.2332189,0.90567106,9,200.8052003714,33.3432767953,536.2052,47.54265,-7.2381597,0.06344022,-7.409149,0.058296643,-7.736591,0.08736151,-7.711095,0.08181053,-7.711095,0.08181053,83,70.69108,1.2332189,0.625503,9,200.805186773,33.3432652264,536.2052,47.54265,-7.044835,0.073235616,-7.277688,0.06587128,-6.2005405,0.34514114,-6.5023,0.23903194,-6.5023,0.23903194,66,70.69108,1.2332189,0.71242666
1.47112,0.0722700692,0.494349,0.0546997716,0.976771,0.0780361506,18.322058,0.0325989809,19.793178,0.06450015,18.816407,0.043924611,10,200.7793261477,33.3431773384,845.3952,45.843464,-8.029675,0.022138774,-8.130007,0.022189105,-8.123876,0.032427,-8.062268,0.02690139,-8.062268,0.02690139,176,-75.41994,1.2347603,0.032489527,10,200.7793353576,33.3431493037,845.3952,45.843464,-7.8924966,0.042825997,-8.014838,0.040195484,-8.143492,0.06048235,-8.032271,0.050502907,-8.032271,0.050502907,134,-75.41994,1.2347603,0.14947216,10,200.7793159654,33.3431402315,845.3952,45.843464,-8.090561,0.035181295,-8.182618,0.0335461,-8.650655,0.037383065,-8.39901,0.035587113,-8.39901,0.035587113,149,-75.41994,1.2347603,0.04423726
