M_calibrated_K=MAG_APER_K+26.2715655±0.0033601851,M_calibrated_err_K,M_calibrated_J=MAG_APER_J+27.757166±0.0110146804,M_calibrated_err_J,M_calibrated_H=MAG_APER_H+27.384571±0.0790101107,M_calibrated_err_H,NUMBER_K,X_WORLD_K,Y_WORLD_K,X_IMAGE_K,Y_IMAGE_K,MAG_ISO_K,MAGERR_ISO_K,MAG_ISOCOR_K,MAGERR_ISOCOR_K,MAG_APER_K,MAGERR_APER_K,MAG_AUTO_K,MAGERR_AUTO_K,MAG_BEST_K,MAGERR_BEST_K,ISOAREA_IMAGE_K,THETA_IMAGE_K,ELONGATION_K,CLASS_STAR_K,NUMBER_J,X_WORLD_J,Y_WORLD_J,X_IMAGE_J,Y_IMAGE_J,MAG_ISO_J,MAGERR_ISO_J,MAG_ISOCOR_J,MAGERR_ISOCOR_J,MAG_APER_J,MAGERR_APER_J,MAG_AUTO_J,MAGERR_AUTO_J,MAG_BEST_J,MAGERR_BEST_J,ISOAREA_IMAGE_J,THETA_IMAGE_J,ELONGATION_J,CLASS_STAR_J,NUMBER_H,X_WORLD_H,Y_WORLD_H,X_IMAGE_H,Y_IMAGE_H,MAG_ISO_H,MAGERR_ISO_H,MAG_ISOCOR_H,MAGERR_ISOCOR_H,MAG_APER_H,MAGERR_APER_H,MAG_AUTO_H,MAGERR_AUTO_H,MAG_BEST_H,MAGERR_BEST_H,ISOAREA_IMAGE_H,THETA_IMAGE_H,ELONGATION_H,CLASS_STAR_H
125.2715655,99.000000057,126.757166,99.0000006127,19.5740723,0.146333337,1,204.2241664446,32.1095250885,1070.0673,22.540455,-7.0094013,0.0394595,-7.157354,0.03977229,99,99,-6.013235,0.1365319,-7.157354,0.03977229,61,76.68277,1.6626042,0.9774985,1,204.2241436439,32.1095328906,1070.0673,22.540455,99,99,99,99,99,99,99,99,99,99,0,76.68277,1.6626042,0.019272702,1,204.2241499842,32.1095206042,1070.0673,22.540455,-7.0170026,0.11491749,-7.163262,0.1039608,-7.8104987,0.123169996,-7.8716645,0.08333482,-7.163262,0.1039608,42,76.68277,1.6626042,0.9688605
20.2320485,0.2224902052,126.757166,99.0000006127,20.577166,0.3817024494,2,204.2256825168,32.1118190245,1051.861,55.309704,-6.9043746,0.04679418,-7.1672535,0.04712446,-6.039517,0.22246483,-6.3287063,0.14041702,-7.1672535,0.04712446,83,-65.53846,3.3157442,0.06546606,2,204.2256588493,32.1118266901,1051.861,55.309704,99,99,99,99,99,99,99,99,99,99,29,-65.53846,3.3157442,0.76819265,2,204.2256656311,32.1118152058,1051.861,55.309704,99,99,99,99,-6.807405,0.37343562,-6.470709,0.41502672,99,99,46,-65.53846,3.3157442,0.6380868
125.2715655,99.000000057,126.757166,99.0000006127,18.987264,0.1174450895,3,204.225678856,32.1092519869,1051.7874,18.704842,-6.671124,0.051492166,-6.9197083,0.051900607,99,99,-6.2094364,0.116347335,-6.9197083,0.051900607,56,65.97481,1.309064,0.97861034,3,204.225655851,32.1092601183,1051.7874,18.704842,99,99,99,99,99,99,99,99,99,99,28,65.97481,1.309064,0.8676487,3,204.2256627069,32.1092477721,1051.7874,18.704842,-7.1581144,0.10065837,-7.2747846,0.09269389,-8.397307,0.08689506,-6.950671,0.19597419,-7.2747846,0.09269389,28,65.97481,1.309064,0.9511828
19.2881905,0.0947928041,126.757166,99.0000006127,19.9614543,0.2263677217,4,204.2260109383,32.1109449584,1047.8541,42.85872,-7.3953304,0.037843157,-7.6761274,0.038057063,-6.983375,0.09473323,-7.416106,0.0670237,-7.6761274,0.038057063,142,3.2053063,2.5161443,0.018562486,4,204.2259874365,32.1109528436,1047.8541,42.85872,99,99,99,99,99,99,99,99,99,99,52,3.2053063,2.5161443,0.96307826,4,204.2259943542,32.1109410727,1047.8541,42.85872,-6.3660493,0.29662547,-9.5616665,0.031557266,-7.4231167,0.21213144,-7.8346643,0.15175727,-9.5616665,0.031557266,86,3.2053063,2.5161443,0.4589264
125.2715655,99.000000057,126.757166,99.0000006127,20.9264836,0.5209041454,5,204.2262141145,32.1097707161,1045.3462,26.1225,-6.526875,0.050142083,-6.68737,0.050567836,99,99,-6.3470025,0.0864273,-6.68737,0.050567836,46,-43.23874,1.6016526,0.9774035,5,204.2261908786,32.1097788523,1045.3462,26.1225,99,99,99,99,99,99,99,99,99,99,9,-43.23874,1.6016526,0.45541355,5,204.2261978989,32.1097666915,1045.3462,26.1225,-6.9369674,0.10219032,-7.0250783,0.09585143,-6.4580874,0.5148772,-6.9771276,0.1580275,-7.0250783,0.09585143,34,-43.23874,1.6016526,0.9533483
20.9614475,0.4176634369,25.3418997,6.3163836039,19.088793,0.1212569823,6,204.2247525245,32.1108360479,1063.0483,41.256817,-7.4873667,0.032797728,-7.661831,0.033090975,-5.310118,0.41764992,-6.724039,0.09528623,-7.661831,0.033090975,97,30.671967,2.1492155,0.72467947,6,204.2247292794,32.1108437202,1063.0483,41.256817,99,99,99,99,-2.4152663,6.316374,-5.046729,0.4594994,99,99,59,30.671967,2.1492155,0.9773367,6,204.2247357779,32.1108318863,1063.0483,41.256817,-7.673329,0.0823171,-7.8047957,0.07512116,-8.295778,0.091981836,-8.208468,0.081597455,-7.8047957,0.07512116,81,30.671967,2.1492155,0.8312524
19.4351505,0.0886409376,24.622957,2.7379141562,21.6124343,0.7878100373,7,204.3124173119,32.1112940573,4.2508,51.618088,-6.9171934,0.048676256,-7.244253,0.04869851,-6.836415,0.088577226,-6.9628987,0.07295825,-7.244253,0.04869851,67,-74.276535,1.6927965,0.8875147,7,204.3123780375,32.111317865,4.2508,51.618088,99,99,99,99,-3.134209,2.737892,99,99,99,99,34,-74.276535,1.6927965,0.7720732,7,204.3124139454,32.11130802,4.2508,51.618088,99,99,99,99,-5.7721367,0.78383803,-7.070121,0.21766327,99,99,19,-74.276535,1.6927965,0.8902532
17.7171315,0.0243648558,19.292697,0.0293938552,18.199339,0.0896962879,8,204.255348403,32.1103751632,693.48505,35.923813,-8.50999,0.018073108,-8.60684,0.018150814,-8.554434,0.02413204,-8.55357,0.021889912,-8.60684,0.018150814,249,-53.063976,1.2424598,0.027996738,8,204.2553197214,32.1103885784,693.48505,35.923813,-8.20457,0.023812097,-8.356149,0.023795092,-8.464469,0.027252074,-8.441621,0.025079213,-8.356149,0.023795092,221,-53.063976,1.2424598,0.020943007,8,204.2553365021,32.1103772326,693.48505,35.923813,-8.91927,0.03534591,-8.974856,0.033910222,-9.185232,0.042459704,-9.112603,0.040215775,-8.974856,0.033910222,182,-53.063976,1.2424598,0.020393962
18.9393025,0.0694522526,20.5883847,0.0852950669,22.059015,1.4617434879,9,204.275092716,32.1103187794,455.00714,35.97505,-7.043153,0.042942137,-7.2799397,0.043306585,-7.332263,0.06937092,-7.272547,0.059894055,-7.272547,0.059894055,109,19.538334,1.0803287,0.025594119,9,204.2750604651,32.1103358576,455.00714,35.97505,-6.159538,0.09464751,-7.7898993,0.046116024,-7.1687813,0.08458088,-6.927544,0.08548206,-6.927544,0.08548206,65,19.538334,1.0803287,0.44767383,9,204.2750838742,32.1103249063,455.00714,35.97505,-7.0376015,0.13078782,-7.276569,0.11266946,-5.325556,1.4596066,-6.7415047,0.3192465,-6.7415047,0.3192465,61,19.538334,1.0803287,0.083641045
18.3346139,0.0409313304,20.800608,0.1029218322,19.375311,0.1469713349,10,204.3037716639,32.1099712473,108.59874,32.33948,-7.835279,0.027482206,-7.9966936,0.02771653,-7.9369516,0.040793173,-7.9446425,0.041164443,-7.9446425,0.041164443,188,-29.009754,1.3335327,0.016808713,10,204.3037342989,32.1099936954,108.59874,32.33948,-7.132693,0.051106665,-7.679511,0.04760371,-6.956558,0.10233074,-6.8299117,0.11667338,-6.8299117,0.11667338,126,-29.009754,1.3335327,0.029372921,10,204.3037673435,32.1099832261,108.59874,32.33948,-7.8864813,0.077461265,-8.035749,0.06995403,-8.00926,0.1239273,-7.8561997,0.14511253,-7.8561997,0.14511253,102,-29.009754,1.3335327,0.17541128
