Zero-point magnitude (aper),zp_quadr_err,SDSS name,SDSS RA,SDSS Dec,SDSS RA (deg),SDSS Dec (deg),SDSS Imag,2MASS Imag_err,Sextractor cat #,Sextractor RA,Sextractor Dec,instrumental Imag (ISOCOR),instrumental Imag_err (ISOCOR),instrumental Imag (APER),instrumental Imag_err (APER),instrumrntal Imag (AUTO),instrumental Imag_err (AUTO),instrumental APER-AUTO,instrumental APER-AUTO_err,instrumental Imag (BEST),instrumental Imag_err (BEST),CLASS_STAR,Notes
-31.198558,0.0020994948,1.23764872122925E+018,,,176.6628828523,-0.169352167,13.57821,0.002051604,206,176.6629500327,-0.1693315854,-17.883953,0.000631927,-17.620348,0.0004458692,-17.865032,0.0005795881,0.244684,0.0007312466,-17.865032,0.0005795881,0.84351176,
-32.316661,0.0095348171,1.23764872122925E+018,,,176.6725225791,-0.1795637381,17.45449,0.008714436,199,176.6725075273,-0.1795756146,-15.018262,0.004570161,-14.862171,0.0038692818,-15.010309,0.005197157,0.148138,0.006479335,-15.010309,0.005197157,0.027778357,
-32.433833,0.005878141,1.23764872122925E+018,,,176.6344345374,-0.1804520643,16.856749,0.0054932325,196,176.6344297336,-0.1805435149,-15.725324,0.0026031027,-15.577084,0.0020921133,-15.704275,0.0028175788,0.127191,0.0035093715,-15.704275,0.0028175788,0.028606609,
-32.243148,0.0046442754,1.23764872122932E+018,,,176.7047706318,-0.2041356433,15.852348,0.004517068,132,176.704750474,-0.2040975144,-16.46424,0.0013690774,-16.3908,0.0010795326,-16.437668,0.0012463024,0.046868,0.001648836,-16.437668,0.0012463024,0.665228,
-32.497787,0.0058628368,1.23767464992722E+018,,,176.6444140339,-0.2259903305,16.8664,0.0055115134,80,176.6444104692,-0.2259609098,-15.654332,0.0021450378,-15.631387,0.0019990187,-15.634356,0.002024961,0.002969,0.0028454425,-15.634356,0.002024961,0.043676216,
-32.341179,0.0069608243,1.23767464992722E+018,,,176.6643343302,-0.2275286645,17.00075,0.0064739618,68,176.6643038379,-0.2274935851,-15.50955,0.003160422,-15.340429,0.002557517,-15.5313225,0.003488396,0.1908935,0.0043254826,-15.5313225,0.003488396,0.028479578,
-32.391915,0.0059974667,1.23767464992722E+018,,,176.683605487,-0.2261223057,16.902767,0.005558072,79,176.6835896275,-0.2260579626,-15.707668,0.002843764,-15.489148,0.002253318,-15.699784,0.0029126545,0.210636,0.0036825261,-15.699784,0.0029126545,0.02865461,
-31.974105,0.0042485164,1.23764872122925E+018,,,176.6528993861,-0.1365904639,15.049823,0.0041867667,216,176.6529419814,-0.136574551,-17.022898,0.0009826937,-16.924282,0.0007217175,-16.996572,0.0008888924,0.07229,0.0011449917,-16.996572,0.0008888924,0.8062407,
-32.43158,0.0049317207,1.23764872122925E+018,,,176.6615397771,-0.1335188876,16.324915,0.004742688,340,176.6615371965,-0.1334942481,-16.138597,0.0015366715,-16.106665,0.0013523239,-16.12078,0.0014371504,0.014115,0.001973368,-16.12078,0.0014371504,0.24208984,
-31.850581,0.00428241,1.23764872122932E+018,,,176.7140729468,-0.2007838616,14.88923,0.0042243935,135,176.7140893552,-0.2007753551,-17.060236,0.0009533787,-16.961351,0.0007025205,-17.03704,0.0008596656,0.075689,0.0011102072,-17.03704,0.0008596656,0.82599944,
-32.181747,0.012247837,1.23764872122932E+018,,,176.7293369912,-0.179917263,17.498325,0.011379671,200,176.7294512033,-0.1798033728,-14.978859,0.0056214235,-14.683422,0.0045290836,-14.956735,0.0061075985,0.273313,0.0076036411,-14.956735,0.0061075985,0.014937037,
