ra,dec,i,psfMag_i,petroMag_i,SDSSname,cModelMag_i,deVMag_i,expMag_i,fiber2Mag_i,fiberMag_i,modelMag_i,objID,NUMBER,X_WORLD,Y_WORLD,X_IMAGE,Y_IMAGE,MAG_ISO,MAGERR_ISO,MAG_ISOCOR,MAGERR_ISOCOR,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,ISOAREA_IMAGE,THETA_IMAGE,ELONGATION,CLASS_STAR,Separation
176.66288285,-0.16935217,13.57821,13.343354,13.366261,SDSS J114639.09-001009.6,15.170022,15.170022,14.766556,16.006058,15.34607,13.57821,1237648721229250669,206,176.6629500326567,-0.16933158537565388,1420.4484,1246.6757,-17.8722,6.036959E-4,-17.883953,6.31927E-4,-17.620348,4.458692E-4,-17.865032,5.7958806E-4,-17.865032,5.7958806E-4,3891,-86.326225,1.004321,0.84351176,0.25295467812396444
176.67252258,-0.17956374,17.45449,19.256824,17.562525,SDSS J114641.40-001046.4,17.490276,17.146046,17.490276,19.500765,18.773876,17.45449,1237648721229250753,199,176.6725075272843,-0.17957561460023538,1285.4298,1099.9968,-14.954781,0.0040401886,-15.018262,0.004570161,-14.862171,0.0038692818,-15.010309,0.005197157,-15.010309,0.005197157,980,-54.37172,1.5453076,0.027778357,0.0690213190749875
176.63443454,-0.18045206,16.856749,18.482338,16.885,SDSS J114632.26-001049.6,16.828884,16.520237,16.869974,18.785625,18.077831,16.856749,1237648721229250732,196,176.63442973362172,-0.18054351486519551,1827.3435,1089.8596,-15.68967,0.0023866617,-15.725324,0.0026031027,-15.577084,0.0020921133,-15.704275,0.0028175788,-15.704275,0.0028175788,1301,-19.683823,1.086852,0.028606609,0.32969187221528434
176.70477063,-0.20413564,15.852348,15.8452215,15.884535,SDSS J114649.14-001214.8,15.853886,15.853886,15.854037,16.660065,16.173962,15.852348,1237648721229316104,132,176.70475047400504,-0.20409751444148122,828.9768,747.9857,-16.447916,0.001295994,-16.46424,0.0013690774,-16.3908,0.0010795326,-16.437668,0.0012463024,-16.437668,0.0012463024,1365,39.689964,1.0535744,0.665228,0.15525215223311212
176.64441403,-0.22599033,16.8664,16.879673,16.93504,SDSS J114634.65-001333.5,16.864155,16.864069,16.864155,17.708527,17.216406,16.8664,1237674649927221380,80,176.64441046924435,-0.22596090983387726,1689.6604,442.6447,-15.634348,0.0020169497,-15.654332,0.0021450378,-15.631387,0.0019990187,-15.634356,0.002024961,-15.634356,0.002024961,772,88.27696,1.050468,0.043676216,0.10668549789376842
176.66433433,-0.22752866,17.00075,18.895317,17.057293,SDSS J114639.44-001339.1,17.032158,16.647125,17.036913,19.118431,18.394743,17.00075,1237674649927221408,68,176.66430383789998,-0.22749358513568227,1406.7383,418.9364,-15.464515,0.0028594243,-15.50955,0.003160422,-15.340429,0.002557517,-15.5313225,0.003488396,-15.5313225,0.003488396,1254,40.104843,1.34464,0.028479578,0.16731286546772242
176.68360549,-0.22612231,16.902767,18.385216,16.88028,SDSS J114644.06-001334.0,16.796562,16.603668,16.936146,18.72485,18.049583,16.902767,1237674649927221418,79,176.68358962753376,-0.2260579625905197,1132.1781,437.52283,-15.6641865,0.0025783877,-15.707668,0.002843764,-15.489148,0.002253318,-15.699784,0.0029126545,-15.699784,0.0029126545,1462,-12.727424,1.6896065,0.02865461,0.2385853121874791
176.65289939,-0.13659046,15.049823,15.051667,15.091598,SDSS J114636.69-000811.7,15.049099,15.049099,15.0491,15.862606,15.376032,15.049823,1237648721229250661,216,176.65294198141396,-0.13657455101744,1559.7288,1713.7441,-17.009571,9.357194E-4,-17.022898,9.826937E-4,-16.924282,7.2171754E-4,-16.996572,8.888924E-4,-16.996572,8.888924E-4,1960,66.24993,1.1131023,0.8062407,0.16367588995807797
176.66153978,-0.13351889,16.324915,16.328793,16.367046,SDSS J114638.76-000800.6,16.326317,16.325634,16.326317,17.14064,16.653465,16.324915,1237648721229250664,340,176.66153719652465,-0.13349424811584512,1437.1302,1756.7543,-16.12373,0.0014587258,-16.138597,0.0015366715,-16.106665,0.0013523239,-16.12078,0.0014371504,-16.12078,0.0014371504,961,-81.40619,1.0547656,0.24208984,0.0891969845545342
176.71407295,-0.20078386,14.88923,14.883389,14.924929,SDSS J114651.37-001202.8,14.890772,14.890772,14.891037,15.6940565,15.208248,14.88923,1237648721229316122,135,176.7140893551968,-0.20077535511093741,695.7736,794.3659,-17.047384,9.086902E-4,-17.060236,9.533787E-4,-16.961351,7.0252054E-4,-17.03704,8.5966557E-4,-17.03704,8.5966557E-4,1987,86.037224,1.0492783,0.82599944,0.06652312142915284
176.72933699,-0.17991726,17.498325,19.862856,17.63437,SDSS J114655.04-001047.7,17.513523,16.899342,17.513523,20.031385,19.269732,17.498325,1237648721229316274,200,176.72945120325974,-0.1798033727955941,475.1815,1091.317,-14.880292,0.0047955285,-14.978859,0.0056214235,-14.683422,0.0045290836,-14.956735,0.0061075985,-14.956735,0.0061075985,1261,23.031355,1.3431271,0.014937037,0.5806481446358428
176.72783847,-0.21734195,15.08259,15.122045,15.1339655,SDSS J114654.68-001302.4,15.079829,15.079198,15.079829,15.913688,15.418589,15.08259,1237674649927286796,162,176.72786556993125,-0.21738092024223624,501.33398,556.76263,-17.099451,0.0011394162,-17.126665,0.0012266716,99.0,99.0,99.0,99.0,99.0,99.0,3640,64.60598,1.9654758,0.7969067,0.17087966021970408
