Zero-point magnitude (best),zp_quadr_err (best),Zero-point magnitude (aper8),zp_quadr_err (aper8),Zero-point magnitude (aper3),zp_quadr_err (aper3),Zero-point magnitude (psf),zp_quadr_err (psf),SDSS name,SDSS RA,SDSS Dec,SDSS RA (deg),SDSS Dec (deg),SDSS Imag_model,SDSS Imag_model_err,SDSS Imag_psf,SDSS Imag_psf_err,SDSS Imag_fiber,SDSS Imag_fiber_err,Sextractor cat #,Sextractor RA,Sextractor Dec,instrumental Imag (ISOCOR),instrumental Imag_err (ISOCOR),instrumental Imag (APER8),instrumental Imag_err (APER8),instrumental Imag (APER3),instrumental Imag_err (APER3),instrumrntal Imag (AUTO),instrumental Imag_err (AUTO),instrumental APER-AUTO,instrumental APER-AUTO_err,instrumental Imag (BEST),instrumental Imag_err (BEST),CLASS_STAR,Notes
-31.443242,0.0021319009,-31.198558,0.0020994948,-31.187057,0.0028833909,-31.227307,0.0009048639,SDSS J114639.09-001009.6,,,176.6628828523,-0.169352167,13.57821,0.002051604,13.343354,0.0006476473,15.34607,0.0027220207,206,176.6629500327,-0.1693315854,-17.883953,0.000631927,-17.620348,0.0004458692,-15.840987,0.0009510765,-17.865032,0.0005795881,0.244684,0.0007312466,-17.865032,0.0005795881,0.84351176,
-32.464799,0.0101465184,-32.316661,0.0095348171,-32.491926,0.0162659051,-34.275086,0.0244072873,SDSS J114641.40-001046.4,,,176.6725225791,-0.1795637381,17.45449,0.008714436,19.256824,0.023975598,18.773876,0.015645124,199,176.6725075273,-0.1795756146,-15.018262,0.004570161,-14.862171,0.0038692818,-13.71805,0.004450816,-15.010309,0.005197157,0.148138,0.006479335,-15.010309,0.005197157,0.027778357,
-32.561024,0.0061736823,-32.433833,0.005878141,-32.524033,0.0091483381,-34.207662,0.0192795166,SDSS J114632.26-001049.6,,,176.6344345374,-0.1804520643,16.856749,0.0054932325,18.482338,0.019102974,18.077831,0.008801458,196,176.6344297336,-0.1805435149,-15.725324,0.0026031027,-15.577084,0.0020921133,-14.446202,0.002495281,-15.704275,0.0028175788,0.127191,0.0035093715,-15.704275,0.0028175788,0.028606609,
-32.290016,0.0046858482,-32.243148,0.0046442754,-31.93236,0.0024762701,-32.3094615,0.0189362824,SDSS J114649.14-001214.8,,,176.7047706318,-0.2041356433,15.852348,0.004517068,15.8452215,0.018886726,16.173962,0.0022648422,132,176.704750474,-0.2040975144,-16.46424,0.0013690774,-16.3908,0.0010795326,-15.758398,0.0010012011,-16.437668,0.0012463024,0.046868,0.001648836,-16.437668,0.0012463024,0.665228,
-32.500756,0.0058717329,-32.497787,0.0058628368,-32.395547,0.0044366371,-32.534005,0.0193138916,SDSS J114634.65-001333.5,,,176.6444140339,-0.2259903305,16.8664,0.0055115134,16.879673,0.019194406,17.216406,0.0041876747,80,176.6444104692,-0.2259609098,-15.654332,0.0021450378,-15.631387,0.0019990187,-15.179141,0.0014653085,-15.634356,0.002024961,0.002969,0.0028454425,-15.634356,0.002024961,0.043676216,
-32.5320725,0.0073539845,-32.341179,0.0069608243,-32.516771,0.0248115836,-34.404867,0.0324290732,SDSS J114639.44-001339.1,,,176.6643343302,-0.2275286645,17.00075,0.0064739618,18.895317,0.032274704,18.394743,0.024602585,68,176.6643038379,-0.2274935851,-15.50955,0.003160422,-15.340429,0.002557517,-14.122028,0.0032136412,-15.5313225,0.003488396,0.1908935,0.0043254826,-15.5313225,0.003488396,0.028479578,
-32.602551,0.0062750076,-32.391915,0.0059974667,-32.4896875,0.007441231,-34.092884,0.0205433001,SDSS J114644.06-001334.0,,,176.683605487,-0.2261223057,16.902767,0.005558072,18.385216,0.02034552,18.049583,0.007006543,79,176.6835896275,-0.2260579626,-15.707668,0.002843764,-15.489148,0.002253318,-14.4401045,0.0025060475,-15.699784,0.0029126545,0.210636,0.0036825261,-15.699784,0.0029126545,0.02865461,
-32.046395,0.004280087,-31.974105,0.0042485164,-31.369936,0.0017504453,-32.074565,0.0166469472,SDSS J114636.69-000811.7,,,176.6528993861,-0.1365904639,15.049823,0.0041867667,15.051667,0.016617917,15.376032,0.001521203,216,176.6529419814,-0.136574551,-17.022898,0.0009826937,-16.924282,0.0007217175,-15.993904,0.0008660255,-16.996572,0.0008888924,0.07229,0.0011449917,-16.996572,0.0008888924,0.8062407,
-32.445695,0.0049556524,-32.43158,0.0049317207,-32.246533,0.0031315409,-32.46739,0.0168105568,SDSS J114638.76-000800.6,,,176.6615397771,-0.1335188876,16.324915,0.004742688,16.328793,0.016740175,16.653465,0.0029273217,340,176.6615371965,-0.1334942481,-16.138597,0.0015366715,-16.106665,0.0013523239,-15.593068,0.0011123562,-16.12078,0.0014371504,0.014115,0.001973368,-16.12078,0.0014371504,0.24208984,
-31.92627,0.0043109773,-31.850581,0.00428241,-31.149466,0.0014143632,-31.943625,0.0188518666,SDSS J114651.37-001202.8,,,176.7140729468,-0.2007838616,14.88923,0.0042243935,14.883389,0.018827744,15.208248,0.0010959663,135,176.7140893552,-0.2007753551,-17.060236,0.0009533787,-16.961351,0.0007025205,-15.941218,0.0008940253,-17.03704,0.0008596656,0.075689,0.0011102072,-17.03704,0.0008596656,0.82599944,
-32.45506,0.0129150947,-32.181747,0.012247837,-32.527963,0.0186390706,-34.841715,0.0288666544,SDSS J114655.04-001047.7,,,176.7293369912,-0.179917263,17.498325,0.011379671,19.862856,0.028314013,19.269732,0.017452601,200,176.7294512033,-0.1798033728,-14.978859,0.0056214235,-14.683422,0.0045290836,-13.258231,0.006543827,-14.956735,0.0061075985,0.273313,0.0076036411,-14.956735,0.0061075985,0.014937037,
