Zero-point magnitude (best),zp_quadr_err (best),Zero-point magnitude (aper),zp_quadr_err (aper),SDSS name,SDSS RA,SDSS Dec,SDSS RA (deg),SDSS Dec (deg),SDSS Rmag_model,2MASS Rmag_model_err,Sextractor cat #,Sextractor RA,Sextractor Dec,instrumental Rmag (ISOCOR),instrumental Rmag_err (ISOCOR),instrumental Rmag (APER),instrumental Rmag_err (APER),instrumrntal Rmag (AUTO),instrumental Rmag_err (AUTO),instrumental APER-AUTO,instrumental APER-AUTO_err,instrumental Rmag (BEST),instrumental Rmag_err (BEST),CLASS_STAR,Notes
-32.749309,0.0088095256,-32.765447,0.0088606817,SDSS J103303.97+590837.0,158.26654844,59.1436154,,,18.443838,0.008565964,470,158.266525282,59.143581588,-14.321669,0.0021399895,-14.321609,0.0022662613,-14.305471,0.002057183,-0.016138,0.0030607094,-14.305471,0.002057183,0.9815488,
-32.786665,0.0042382701,-32.794887,0.0042399756,SDSS J103240.95+590917.3,158.17064211,59.15483296,,,16.729351,0.004169722,527,158.1704925078,59.1548633499,-16.080729,0.0008047019,-16.065536,0.0007686428,-16.057314,0.0007591786,-0.008222,0.0010803536,-16.057314,0.0007591786,0.99695295,
-31.922217,0.0030744271,-31.86446,0.0030743807,SDSS J103243.20+591031.9,158.18002151,59.17555359,,,14.34347,0.0030526246,746,158.179887359,59.1756165885,-17.60227,0.0003837151,-17.52099,0.000365102,-17.578747,0.0003654927,0.057757,0.0005166086,-17.578747,0.0003654927,0.73792,
-32.853265,0.0041781391,-32.860372,0.0041792601,SDSS J103245.96+591005.0,158.19151018,59.16807844,,,16.684175,0.004116102,797,158.1914498793,59.1681054913,-16.191513,0.0007572621,-16.176197,0.0007238226,-16.16909,0.0007173216,-0.007107,0.0010190532,-16.16909,0.0007173216,0.998668,
-32.90056,0.0045412791,-32.910785,0.0045438872,SDSS J103242.62+590959.2,158.17760035,59.16644777,,,16.96834,0.004468818,809,158.177545915,59.1664604093,-15.954893,0.0008565352,-15.942445,0.0008225425,-15.93222,0.0008080106,-0.010225,0.0011530209,-15.93222,0.0008080106,0.9983261,
-32.705284,0.0057229621,-32.718254,0.005736555,SDSS J103321.13+590741.2,158.33804498,59.12813417,,,17.579313,0.005583146,378,158.3380655997,59.128129869,-15.145997,0.001335965,-15.138941,0.00131778,-15.125971,0.0012572891,-0.01297,0.0018213511,-15.125971,0.0012572891,0.9795613,
-32.351139,0.0032579704,-32.342801,0.0032575961,SDSS J103234.97+590844.5,158.14571693,59.14571651,,,15.372181,0.0032221647,457,158.1454551107,59.1456855415,-16.99622,0.0004980536,-16.97062,0.0004791526,-16.978958,0.0004816905,0.008338,0.0006794211,-16.978958,0.0004816905,0.95576537,
-33.047298,0.0054061085,-32.991309,0.005394256,SDSS J103235.32+590832.6,158.14717259,59.14239523,,,17.157145,0.0053230147,434,158.1470087264,59.1424219728,-15.933099,0.0009889475,-15.834164,0.000873792,-15.890153,0.0009442052,0.055989,0.001286482,-15.890153,0.0009442052,0.028071415,
-32.031663,0.0100611389,-31.769456,0.0100617106,SDSS J103316.31+590532.5,158.31797705,59.09238701,,,13.648725,0.010057989,25,158.3178736813,59.092233514,-18.400272,0.000260997,-18.120731,0.0002736379,-18.382938,0.0002517412,0.262207,0.0003718216,-18.382938,0.0002517412,0.84176457,
-32.732843,0.0097107262,-32.749105,0.0097754331,SDSS J103324.00+591154.4,158.35002932,59.1984454,,,18.608894,0.009428614,913,158.3502675605,59.1985794024,-14.143232,0.0024283929,-14.140211,0.0025807617,-14.123949,0.0023236698,-0.016262,0.0034727183,-14.123949,0.0023236698,0.97377574,
-32.578344,0.0033046249,-32.56715,0.003304254,SDSS J103312.47+591246.1,158.30198341,59.21283226,,,15.544222,0.0032711222,581,158.3021353013,59.2129400275,-17.050821,0.0004854182,-17.022928,0.0004667486,-17.034122,0.0004693671,0.011194,0.0006619364,-17.034122,0.0004693671,0.93860924,
