Zero-point magnitude (best),zp_quadr_err (best),Zero-point magnitude (aper8),zp_quadr_err (aper8),Zero-point magnitude (aper3),zp_quadr_err (aper3),Zero-point magnitude (psf),zp_quadr_err (psf),SDSS name,SDSS RA,SDSS Dec,SDSS RA (deg),SDSS Dec (deg),SDSS Rmag_model,SDSS Rmag_model_err,SDSS Rmag_psf,SDSS Rmag_psf_err,SDSS Rmag_fiber,SDSS Rmag_fiber_err,Sextractor cat #,Sextractor RA,Sextractor Dec,instrumental Rmag (ISOCOR),instrumental Rmag_err (ISOCOR),instrumental Rmag (APER8),instrumental Rmag_err (APER8),instrumental Rmag (APER3),instrumental Rmag_err (APER3),instrumrntal Rmag (AUTO),instrumental Rmag_err (AUTO),instrumental APER-AUTO,instrumental APER-AUTO_err,instrumental Rmag (BEST),instrumental Rmag_err (BEST),CLASS_STAR,Notes
-32.749309,0.0088095256,-32.765447,0.0088606817,-32.768677,0.0094603988,-32.780569,0.0173643204,SDSS J103303.97+590837.0,158.26654844,59.1436154,,,18.443838,0.008565964,18.4589,0.017231949,18.788633,0.009266247,470,158.266525282,59.143581588,-14.321669,0.0021399895,-14.321609,0.0022662613,-13.980044,0.0019067806,-14.305471,0.002057183,-0.016138,0.0030607094,-14.305471,0.002057183,0.9815488,
-32.786665,0.0042382701,-32.794887,0.0042399756,-32.691161,0.0033478478,-32.812299,0.0158515345,SDSS J103240.95+590917.3,158.17064211,59.15483296,,,16.729351,0.004169722,16.73157,0.015831096,17.066591,0.003235687,527,158.1704925078,59.1548633499,-16.080729,0.0008047019,-16.065536,0.0007686428,-15.62457,0.0008593105,-16.057314,0.0007591786,-0.008222,0.0010803536,-16.057314,0.0007591786,0.99695295,
-31.922217,0.0030744271,-31.86446,0.0030743807,-31.194391,0.0010200034,-31.946073,0.0156201778,SDSS J103243.20+591031.9,158.18002151,59.17555359,,,14.34347,0.0030526246,14.343803,0.015615464,14.681158,0.0008479055,746,158.179887359,59.1756165885,-17.60227,0.0003837151,-17.52099,0.000365102,-16.513233,0.0005669773,-17.578747,0.0003654927,0.057757,0.0005166086,-17.578747,0.0003654927,0.73792,
-32.853265,0.0041781391,-32.860372,0.0041792601,-32.681475,0.0032724209,-32.880415,0.0158389647,SDSS J103245.96+591005.0,158.19151018,59.16807844,,,16.684175,0.004116102,16.688902,0.015820852,17.023298,0.003161228,797,158.1914498793,59.1681054913,-16.191513,0.0007572621,-16.176197,0.0007238226,-15.658177,0.0008457992,-16.16909,0.0007173216,-0.007107,0.0010190532,-16.16909,0.0007173216,0.998668,
-32.90056,0.0045412791,-32.910785,0.0045438872,-32.744865,0.0038136946,-32.929569,0.0159213027,SDSS J103242.62+590959.2,158.17760035,59.16644777,,,16.96834,0.004468818,16.974676,0.015898246,17.308544,0.0036962435,809,158.177545915,59.1664604093,-15.954893,0.0008565352,-15.942445,0.0008225425,-15.436321,0.0009391755,-15.93222,0.0008080106,-0.010225,0.0011530209,-15.93222,0.0008080106,0.9983261,
-32.705284,0.0057229621,-32.718254,0.005736555,-32.861557,0.005417703,-32.740832,0.0158619177,SDSS J103321.13+590741.2,158.33804498,59.12813417,,,17.579313,0.005583146,17.594835,0.015805557,17.924952,0.0052850023,378,158.3380655997,59.128129869,-15.145997,0.001335965,-15.138941,0.00131778,-14.936605,0.001191745,-15.125971,0.0012572891,-0.01297,0.0018213511,-15.125971,0.0012572891,0.9795613,
-32.351139,0.0032579704,-32.342801,0.0032575961,-32.064877,0.0017403925,-32.391482,0.0156655643,SDSS J103234.97+590844.5,158.14571693,59.14571651,,,15.372181,0.0032221647,15.395262,0.015657645,15.72003,0.0016287786,457,158.1454551107,59.1456855415,-16.99622,0.0004980536,-16.97062,0.0004791526,-16.344847,0.000613226,-16.978958,0.0004816905,0.008338,0.0006794211,-16.978958,0.0004816905,0.95576537,
-33.047298,0.0054061085,-32.991309,0.005394256,-32.796408,0.0061903121,-33.922548,0.0165584786,SDSS J103235.32+590832.6,158.14717259,59.14239523,,,17.157145,0.0053230147,17.989449,0.01652892,18.132277,0.0060392274,434,158.1470087264,59.1424219728,-15.933099,0.0009889475,-15.834164,0.000873792,-14.664131,0.0013592999,-15.890153,0.0009442052,0.055989,0.001286482,-15.890153,0.0009442052,0.028071415,
-32.031663,0.0100611389,-31.769456,0.0100617106,-30.377995,0.0012920626,-31.880658,0.0006689144,SDSS J103316.31+590532.5,158.31797705,59.09238701,,,13.648725,0.010057989,13.480386,0.0006158953,13.920675,0.0011535989,25,158.3178736813,59.092233514,-18.400272,0.000260997,-18.120731,0.0002736379,-16.45732,0.0005819238,-18.382938,0.0002517412,0.262207,0.0003718216,-18.382938,0.0002517412,0.84176457,
-32.732843,0.0097107262,-32.749105,0.0097754331,-32.678303,0.0105839495,-32.746593,0.0173824278,SDSS J103324.00+591154.4,158.35002932,59.1984454,,,18.608894,0.009428614,18.603361,0.017211964,18.946695,0.010360131,913,158.3502675605,59.1985794024,-14.143232,0.0024283929,-14.140211,0.0025807617,-13.731608,0.0021651036,-14.123949,0.0023236698,-0.016262,0.0034727183,-14.123949,0.0023236698,0.97377574,
-32.578344,0.0033046249,-32.56715,0.003304254,-32.219301,0.0018802159,-32.610882,0.0152778205,SDSS J103312.47+591246.1,158.30198341,59.21283226,,,15.544222,0.0032711222,15.560061,0.015270107,15.89542,0.0017753178,581,158.3021353013,59.2129400275,-17.050821,0.0004854182,-17.022928,0.0004667486,-16.323881,0.0006192402,-17.034122,0.0004693671,0.011194,0.0006619364,-17.034122,0.0004693671,0.93860924,
